# Server version 0.08 running on 192.168.5.2:8123
# Game ID: 4
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Mon Mar 21 01:56:56 EDT 2016
# Player 1: Player-0, 'Human', running on 192.168.5.2
# Player 2: Player-1, 'RandomHusPlayer', running on 192.168.5.2
START Player-0 Human
START Player-1 RandomHusPlayer
PIT 0 20
PIT 1 13
PIT 0 0
PIT 1 6
PIT 0 18
PIT 1 7
PIT 0 24
PIT 1 20
PIT 0 20
PIT 1 2
PIT 0 25
PIT 1 3
PIT 0 22
PIT 1 5
PIT 0 23
PIT 1 7
PIT 0 20
PIT 1 13
PIT 0 12
PIT 1 1
PIT 0 6
PIT 1 8
