# Server version 0.08 running on 192.168.2.132:8123
# Game ID: 23
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Wed Mar 30 23:47:05 EDT 2016
# Player 1: Player-0, 'Human', running on 192.168.2.132
# Player 2: Player-1, '260520591', running on 192.168.2.132
START Player-0 Human
START Player-1 260520591
PIT 0 23
PIT 1 14
PIT 0 22
PIT 1 11
PIT 0 21
PIT 1 15
PIT 0 24
PIT 1 12
PIT 0 26
PIT 1 9
PIT 0 27
PIT 1 1
PIT 0 19
PIT 1 0
PIT 0 22
PIT 1 5
PIT 0 28
PIT 1 10
PIT 0 25
PIT 1 13
PIT 0 31
PIT 1 6
PIT 0 30
PIT 1 7
GAMEOVER USER CANCEL UNDECIDED
# Game ended: Wed Mar 30 23:49:59 EDT 2016
