# Server version 0.08 running on 192.168.2.132:8123
# Game ID: 48
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Mar 31 23:57:37 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on 192.168.2.132
# Player 2: Player-1, '260520591', running on 192.168.2.132
START Player-0 RandomHusPlayer
START Player-1 260520591
PIT 0 1
PIT 1 12
PIT 0 8
PIT 1 9
PIT 0 13
PIT 1 22
PIT 0 16
PIT 1 0
PIT 0 21
PIT 1 6
PIT 0 10
PIT 1 7
PIT 0 22
PIT 1 8
PIT 0 24
PIT 1 1
PIT 0 3
PIT 1 25
PIT 0 9
GAMEOVER WINNER 0
# Game ended: Thu Mar 31 23:57:37 EDT 2016
