# Server version 0.08 running on 192.168.5.2:8123
# Game ID: 80
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Fri Apr 01 04:01:17 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on 192.168.5.2
# Player 2: Player-1, '260520591', running on 192.168.5.2
START Player-0 RandomHusPlayer
START Player-1 260520591
PIT 0 17
PIT 1 20
PIT 0 5
PIT 1 1
PIT 0 9
PIT 1 23
PIT 0 21
PIT 1 13
PIT 0 0
PIT 1 6
PIT 0 4
PIT 1 0
PIT 0 3
PIT 1 28
PIT 0 18
PIT 1 17
PIT 0 22
PIT 1 31
PIT 0 1
PIT 1 31
PIT 0 5
PIT 1 29
GAMEOVER WINNER 1
# Game ended: Fri Apr 01 04:01:18 EDT 2016
