# Server version 0.08 running on 192.168.2.17:8123
# Game ID: 98
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Sun Apr 03 03:05:00 EDT 2016
# Player 1: Player-0, 'Human', running on 192.168.2.17
# Player 2: Player-1, '260520591', running on 192.168.2.17
START Player-0 Human
START Player-1 260520591
PIT 0 21
PIT 1 19
PIT 0 22
PIT 1 14
PIT 0 25
PIT 1 3
PIT 0 8
PIT 1 1
PIT 0 7
PIT 1 13
PIT 0 20
PIT 1 18
PIT 0 13
PIT 1 0
PIT 0 18
PIT 1 16
PIT 0 19
PIT 1 18
PIT 0 16
PIT 1 24
PIT 0 26
PIT 1 12
PIT 0 23
PIT 1 28
PIT 0 24
PIT 1 13
PIT 0 27
PIT 1 31
PIT 0 15
PIT 1 30
GAMEOVER WINNER 1
# Game ended: Sun Apr 03 03:06:18 EDT 2016
