# Server version 0.08 running on 142.157.52.32:8123
# Game ID: 115
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Tue Apr 05 19:21:27 EDT 2016
# Player 1: Player-0, 'Human', running on 142.157.52.32
# Player 2: Player-1, '260520591', running on 142.157.52.32
START Player-0 Human
START Player-1 260520591
PIT 0 21
PIT 1 22
PIT 0 22
PIT 1 10
PIT 0 17
PIT 1 13
PIT 0 20
PIT 1 3
PIT 0 14
PIT 1 19
PIT 0 18
PIT 1 24
PIT 0 13
PIT 1 9
PIT 0 17
PIT 1 18
PIT 0 19
PIT 1 31
PIT 0 22
PIT 1 20
PIT 0 21
PIT 1 15
PIT 0 23
PIT 1 19
PIT 0 26
PIT 1 25
PIT 0 3
PIT 1 31
PIT 0 27
PIT 1 27
PIT 0 28
PIT 1 24
GAMEOVER WINNER 1
# Game ended: Tue Apr 05 19:23:29 EDT 2016
